date,price
2025-01-06,39307
2025-01-07,40083
2025-01-08,39981
2025-01-09,39605
2025-01-10,39190
2025-01-14,38474
2025-01-15,38444
2025-01-16,38572
2025-01-17,38451
2025-01-20,38902
2025-01-21,39027
2025-01-22,39646
2025-01-23,39958
2025-01-24,39931
2025-01-27,39565
2025-01-28,39016
2025-01-29,39414
2025-01-30,39513
2025-01-31,39572
2025-02-03,38520
2025-02-04,38798
2025-02-05,38831
2025-02-06,39066
2025-02-07,38787
2025-02-10,38801
2025-02-12,38963
2025-02-13,39461
2025-02-14,39149
2025-02-17,39174
2025-02-18,39270
2025-02-19,39164
2025-02-20,38678
2025-02-21,38776
2025-02-25,38237
2025-02-26,38142
2025-02-27,38256
2025-02-28,37155
2025-03-03,37785
2025-03-04,37331
2025-03-05,37418
2025-03-06,37704
2025-03-07,36887
2025-03-10,37028
2025-03-11,36793
2025-03-12,36819
2025-03-13,36790
2025-03-14,37053
2025-03-17,37396
2025-03-18,37845
2025-03-19,37751
2025-03-21,37677
2025-03-24,37608
2025-03-25,37780
2025-03-26,38027
2025-03-27,37799
2025-03-28,37120
2025-03-31,35617
2025-04-01,35624
2025-04-02,35725
2025-04-03,34735
2025-04-04,33780
2025-04-07,31136
2025-04-08,33012
2025-04-09,31714
2025-04-10,34609
2025-04-11,33585
2025-04-14,33982
2025-04-15,34267
2025-04-16,33920
2025-04-17,34377
2025-04-18,34730
2025-04-21,34279
2025-04-22,34220
2025-04-23,34868
2025-04-24,35039
2025-04-25,35705
2025-04-28,35839
2025-04-30,36045
2025-05-01,36452
2025-05-02,36830
2025-05-07,36779
2025-05-08,36928
2025-05-09,37503
2025-05-12,37644
2025-05-13,38183
2025-05-14,38128
2025-05-15,37755
2025-05-16,37753
2025-05-19,37498
2025-05-20,37529
2025-05-21,37298
2025-05-22,36985
2025-05-23,37160
2025-05-26,37531
2025-05-27,37724
2025-05-28,37722
2025-05-29,38432
2025-05-30,37965
2025-06-02,37470
2025-06-03,37446
2025-06-04,37747
2025-06-05,37554
2025-06-06,37741
2025-06-09,38088
2025-06-10,38211
2025-06-11,38421
2025-06-12,38173
2025-06-13,37834
2025-06-16,38311
2025-06-17,38536
